ENTRY NO.,START,END,ON THE CLOCK
471,12/10/2022 11:00,12/10/2022 16:46,5:46
472,12/10/2022 17:00,12/10/2022 17:27,0:27
473,12/10/2022 17:32,12/10/2022 19:24,1:52
474,12/10/2022 21:26,12/10/2022 22:31,1:05
475,12/11/2022 6:52,12/11/2022 11:38,4:46
476,12/11/2022 13:47,12/11/2022 13:56,0:09
477,12/11/2022 17:03,12/11/2022 20:04,3:01
478,12/12/2022 7:53,12/12/2022 8:03,0:10
479,12/12/2022 8:14,12/12/2022 8:31,0:17
480,12/12/2022 9:42,12/12/2022 10:35,0:53
481,12/12/2022 11:18,12/12/2022 12:12,0:54
482,12/12/2022 13:49,12/12/2022 15:02,1:13
483,12/12/2022 15:21,12/12/2022 15:39,0:18
484,12/12/2022 18:46,12/12/2022 19:30,0:44
485,12/13/2022 7:35,12/13/2022 8:05,0:30
486,12/13/2022 8:14,12/13/2022 9:08,0:54
487,12/13/2022 9:21,12/13/2022 9:26,0:05
488,12/13/2022 10:10,12/13/2022 10:47,0:37
489,12/13/2022 12:46,12/13/2022 12:58,0:12
490,12/13/2022 15:01,12/13/2022 16:11,1:10
491,12/13/2022 17:38,12/13/2022 18:53,1:15
492,12/14/2022 8:09,12/14/2022 10:21,2:12
493,12/14/2022 11:21,12/14/2022 12:53,1:32
494,12/15/2022 6:47,12/15/2022 9:33,2:46
495,12/15/2022 10:11,12/15/2022 10:55,0:44
496,12/15/2022 11:30,12/15/2022 11:44,0:14
497,12/15/2022 15:01,12/15/2022 15:33,0:32
498,12/15/2022 15:34,12/15/2022 16:31,0:57
499,12/15/2022 18:30,12/15/2022 20:30,2:00
500,12/16/2022 6:00,12/16/2022 9:40,3:40
501,12/17/2022 8:45,12/17/2022 10:20,1:35
502,12/17/2022 10:48,12/17/2022 11:40,0:52
503,12/17/2022 14:13,12/17/2022 16:13,2:00
504,12/18/2022 7:35,12/18/2022 9:06,1:31
505,12/18/2022 10:43,12/18/2022 10:49,0:06
506,12/18/2022 10:57,12/18/2022 11:45,0:48
507,12/19/2022 8:53,12/19/2022 9:37,0:44
508,12/19/2022 10:11,12/19/2022 11:25,1:14
509,12/19/2022 13:24,12/19/2022 13:46,0:22
510,12/20/2022 8:03,12/20/2022 8:27,0:24
511,12/20/2022 8:48,12/20/2022 9:52,1:04
512,12/20/2022 14:07,12/20/2022 15:32,1:25
513,12/21/2022 10:47,12/21/2022 11:44,0:57
514,12/22/2022 10:12,12/22/2022 10:38,0:26
515,12/22/2022 10:52,12/22/2022 14:56,4:04
516,12/24/2022 13:07,12/24/2022 13:33,0:26
517,12/28/2022 6:34,12/28/2022 9:01,2:27
518,12/29/2022 7:48,12/29/2022 9:39,1:51
519,12/29/2022 13:14,12/29/2022 15:09,1:55
520,1/1/2023 10:35,1/1/2023 11:04,0:29
521,1/1/2023 15:43,1/1/2023 16:21,0:38
522,1/1/2023 18:08,1/1/2023 18:59,0:51
523,1/2/2023 6:55,1/2/2023 8:12,1:17
524,1/2/2023 8:36,1/2/2023 9:18,0:42
525,1/2/2023 9:42,1/2/2023 10:08,0:26
526,1/3/2023 10:14,1/3/2023 10:45,0:31
527,1/3/2023 15:49,1/3/2023 16:01,0:12
528,1/4/2023 8:12,1/4/2023 13:06,4:54
529,1/4/2023 15:11,1/4/2023 15:59,0:48
530,1/5/2023 7:10,1/5/2023 8:46,1:36
531,1/5/2023 12:17,1/5/2023 12:53,0:36
532,1/6/2023 16:13,1/6/2023 19:33,3:20
533,1/7/2023 14:03,1/7/2023 16:22,2:19
534,1/8/2023 7:52,1/8/2023 8:46,0:54
535,1/8/2023 9:53,1/8/2023 11:36,1:43
536,1/8/2023 19:40,1/8/2023 20:18,0:38
537,1/9/2023 10:19,1/9/2023 11:14,0:55
538,1/9/2023 11:28,1/9/2023 12:35,1:07
539,1/9/2023 12:49,1/9/2023 12:52,0:03
540,1/9/2023 13:01,1/9/2023 14:09,1:08
541,1/9/2023 15:21,1/9/2023 15:41,0:20
542,1/10/2023 8:39,1/10/2023 8:48,0:09
543,1/10/2023 8:49,1/10/2023 9:43,0:54
544,1/10/2023 15:40,1/10/2023 16:42,1:02
545,1/10/2023 18:02,1/10/2023 19:21,1:19
546,1/11/2023 7:18,1/11/2023 9:51,2:33
547,1/11/2023 11:06,1/11/2023 11:53,0:47
548,1/11/2023 13:34,1/11/2023 14:13,0:39
549,1/11/2023 15:29,1/11/2023 15:41,0:12
550,1/12/2023 8:01,1/12/2023 9:06,1:05
551,1/12/2023 9:23,1/12/2023 9:59,0:36
552,1/12/2023 15:44,1/12/2023 16:19,0:35
553,1/12/2023 16:52,1/12/2023 17:19,0:27
554,1/12/2023 17:26,1/12/2023 17:57,0:31
555,1/12/2023 18:06,1/12/2023 18:41,0:35
556,1/12/2023 18:48,1/12/2023 19:21,0:33
557,1/12/2023 20:45,1/12/2023 22:08,1:23
558,1/13/2023 5:31,1/13/2023 7:43,2:12
559,1/13/2023 10:29,1/13/2023 10:44,0:15
560,1/14/2023 7:24,1/14/2023 8:19,0:55
561,1/14/2023 13:58,1/14/2023 14:08,0:10
562,1/14/2023 16:15,1/14/2023 16:28,0:13
563,1/14/2023 17:09,1/14/2023 19:21,2:12
564,1/15/2023 7:07,1/15/2023 9:11,2:04
565,1/16/2023 9:37,1/16/2023 11:50,2:13
566,1/16/2023 16:24,1/16/2023 16:55,0:31
567,1/16/2023 18:45,1/16/2023 20:00,1:15
568,1/17/2023 7:45,1/17/2023 8:18,0:33
569,1/17/2023 8:47,1/17/2023 9:38,0:51
570,1/17/2023 17:19,1/17/2023 18:15,0:56
571,1/18/2023 6:32,1/18/2023 9:54,3:22
572,1/18/2023 11:19,1/18/2023 12:54,1:35
573,1/18/2023 13:01,1/18/2023 13:20,0:19
574,1/19/2023 9:15,1/19/2023 11:17,2:02
575,1/19/2023 11:53,1/19/2023 12:16,0:23
576,1/19/2023 14:47,1/19/2023 15:28,0:41
577,1/19/2023 18:30,1/19/2023 19:45,1:15
578,1/20/2023 7:35,1/20/2023 9:00,1:25
579,1/20/2023 18:32,1/20/2023 19:38,1:06
580,1/21/2023 11:38,1/21/2023 11:44,0:06
581,1/21/2023 11:55,1/21/2023 13:31,1:36
582,1/21/2023 14:05,1/21/2023 16:09,2:04
583,1/22/2023 5:58,1/22/2023 7:04,1:06
584,1/22/2023 7:22,1/22/2023 13:15,5:53
585,1/23/2023 10:47,1/23/2023 11:58,1:11
586,1/23/2023 13:00,1/23/2023 13:24,0:24
587,1/23/2023 14:10,1/23/2023 14:36,0:26
588,1/23/2023 18:39,1/23/2023 20:32,1:53
589,1/24/2023 7:17,1/24/2023 8:40,1:23
590,1/26/2023 16:08,1/26/2023 19:42,3:34
591,1/26/2023 20:47,1/26/2023 21:12,0:25
592,1/27/2023 16:25,1/27/2023 20:23,3:58
593,1/28/2023 12:33,1/28/2023 18:18,5:45
594,1/29/2023 7:40,1/29/2023 10:06,2:26
595,1/29/2023 16:38,1/29/2023 19:20,2:42
596,1/30/2023 7:49,1/30/2023 11:26,3:37
597,1/30/2023 12:09,1/30/2023 15:01,2:52
598,1/30/2023 16:44,1/30/2023 19:24,2:40
599,1/31/2023 7:25,1/31/2023 13:06,5:41
600,1/31/2023 13:10,1/31/2023 13:49,0:39
601,2/1/2023 8:08,2/1/2023 8:19,0:11
602,2/1/2023 8:25,2/1/2023 12:45,4:20
603,2/1/2023 13:07,2/1/2023 14:46,1:39
604,2/1/2023 14:58,2/1/2023 15:24,0:26
605,2/2/2023 9:32,2/2/2023 9:54,0:22
606,2/2/2023 10:21,2/2/2023 11:02,0:41
607,2/2/2023 11:38,2/2/2023 11:45,0:07
608,2/2/2023 20:43,2/2/2023 22:01,1:18
609,2/3/2023 7:36,2/3/2023 9:20,1:44
610,2/3/2023 12:58,2/3/2023 13:41,0:43
611,2/3/2023 17:04,2/3/2023 18:32,1:28
612,2/3/2023 18:48,2/3/2023 20:39,1:51
613,2/4/2023 12:49,2/4/2023 13:47,0:58
614,2/4/2023 14:27,2/4/2023 16:33,2:06
615,2/5/2023 7:46,2/5/2023 11:41,3:55
616,2/5/2023 16:18,2/5/2023 18:20,2:02
617,2/6/2023 8:28,2/6/2023 14:12,5:44
618,2/6/2023 14:28,2/6/2023 14:42,0:14
619,2/6/2023 17:40,2/6/2023 19:32,1:52
620,2/7/2023 9:12,2/7/2023 10:00,0:48
621,2/8/2023 5:34,2/8/2023 12:15,6:41
622,2/8/2023 12:59,2/8/2023 14:01,1:02
623,2/8/2023 17:40,2/8/2023 18:25,0:45
624,2/9/2023 8:55,2/9/2023 11:45,2:50
625,2/9/2023 14:47,2/9/2023 15:56,1:09
626,2/10/2023 6:59,2/10/2023 9:25,2:26
627,2/10/2023 13:25,2/10/2023 15:37,2:12
628,2/10/2023 17:33,2/10/2023 22:33,5:00
629,2/11/2023 12:48,2/11/2023 14:48,2:00
630,2/12/2023 7:49,2/12/2023 11:30,3:41
631,2/13/2023 10:26,2/13/2023 12:34,2:08
632,2/13/2023 13:13,2/13/2023 13:51,0:38
633,2/14/2023 8:35,2/14/2023 10:29,1:54
634,2/15/2023 7:42,2/15/2023 11:00,3:18
635,2/15/2023 11:39,2/15/2023 12:40,1:01
636,2/15/2023 12:57,2/15/2023 14:43,1:46
637,2/16/2023 7:25,2/16/2023 10:08,2:43
638,2/17/2023 16:10,2/17/2023 16:12,0:02
639,2/17/2023 16:59,2/17/2023 18:14,1:15
640,2/18/2023 12:10,2/18/2023 16:10,4:00
641,2/19/2023 8:10,2/19/2023 10:36,2:26
642,2/19/2023 10:43,2/19/2023 11:24,0:41
643,2/20/2023 8:25,2/20/2023 10:18,1:53
644,2/20/2023 10:43,2/20/2023 11:54,1:11
645,2/20/2023 12:23,2/20/2023 14:10,1:47
646,2/20/2023 14:35,2/20/2023 14:47,0:12
647,2/20/2023 15:37,2/20/2023 16:09,0:32
648,2/20/2023 17:31,2/20/2023 19:27,1:56
649,2/21/2023 8:16,2/21/2023 9:37,1:21
650,2/21/2023 14:06,2/21/2023 16:07,2:01
651,2/21/2023 18:39,2/21/2023 19:24,0:45
652,2/22/2023 7:49,2/22/2023 8:01,0:12
653,2/22/2023 8:44,2/22/2023 10:23,1:39
654,2/23/2023 8:28,2/23/2023 13:48,5:20
655,2/23/2023 19:45,2/23/2023 21:11,1:26
656,2/24/2023 14:23,2/24/2023 14:50,0:27
657,2/26/2023 7:50,2/26/2023 9:42,1:52
658,2/26/2023 18:38,2/26/2023 20:00,1:22
659,2/27/2023 10:01,2/27/2023 14:29,4:28
660,2/28/2023 8:24,2/28/2023 10:14,1:50
661,2/28/2023 14:16,2/28/2023 15:32,1:16
662,2/28/2023 20:08,2/28/2023 22:08,2:00
663,3/1/2023 6:56,3/1/2023 9:00,2:04
664,3/1/2023 9:16,3/1/2023 10:46,1:30
665,3/1/2023 17:31,3/1/2023 18:30,0:59
666,3/2/2023 7:35,3/2/2023 9:54,2:19
667,3/2/2023 9:31,3/2/2023 10:34,1:03
668,3/2/2023 10:49,3/2/2023 10:51,0:02
669,3/2/2023 14:21,3/2/2023 17:06,2:45
670,3/3/2023 7:56,3/3/2023 8:38,0:42
671,3/4/2023 16:14,3/4/2023 18:04,1:50
672,3/4/2023 18:29,3/4/2023 19:49,1:20
673,3/5/2023 7:15,3/5/2023 9:45,2:30
674,3/6/2023 10:22,3/6/2023 12:33,2:11
675,3/6/2023 13:13,3/6/2023 14:10,0:57
676,3/6/2023 17:31,3/6/2023 18:06,0:35
677,3/7/2023 9:02,3/7/2023 9:51,0:49
678,3/7/2023 15:33,3/7/2023 15:52,0:19
679,3/10/2023 14:07,3/10/2023 16:28,2:21
680,3/10/2023 17:25,3/10/2023 18:40,1:15
681,3/11/2023 12:38,3/11/2023 13:45,1:07
682,3/11/2023 14:26,3/11/2023 17:47,3:21
683,3/11/2023 17:19,3/11/2023 17:38,0:19
684,3/11/2023 17:39,3/11/2023 17:50,0:11
685,3/11/2023 18:13,3/11/2023 19:03,0:50
686,3/13/2023 8:53,3/13/2023 10:21,1:28
687,3/13/2023 10:42,3/13/2023 12:15,1:33
688,3/13/2023 12:23,3/13/2023 12:42,0:19
689,3/13/2023 14:04,3/13/2023 14:20,0:16
690,3/13/2023 18:39,3/13/2023 19:34,0:55
691,3/14/2023 8:59,3/14/2023 10:08,1:09
692,3/14/2023 14:48,3/14/2023 16:43,1:55
693,3/15/2023 8:23,3/15/2023 9:59,1:36
694,3/15/2023 10:29,3/15/2023 10:37,0:08
695,3/15/2023 10:56,3/15/2023 12:41,1:45
696,3/15/2023 12:52,3/15/2023 13:54,1:02
697,3/15/2023 18:21,3/15/2023 19:44,1:23
698,3/16/2023 9:44,3/16/2023 10:14,0:30
699,3/16/2023 11:35,3/16/2023 12:26,0:51
700,3/17/2023 15:34,3/17/2023 18:44,3:10
701,3/19/2023 18:08,3/19/2023 19:26,1:18
702,3/20/2023 10:05,3/20/2023 12:43,2:38
703,3/22/2023 9:06,3/22/2023 10:00,0:54
704,3/22/2023 11:19,3/22/2023 13:05,1:46
705,3/22/2023 14:02,3/22/2023 14:16,0:14
706,3/23/2023 6:39,3/23/2023 11:19,4:40
707,3/23/2023 16:14,3/23/2023 17:17,1:03
708,3/25/2023 11:12,3/25/2023 13:16,2:04
709,3/25/2023 14:54,3/25/2023 15:57,1:03
710,3/26/2023 6:46,3/26/2023 8:59,2:13
711,3/26/2023 17:37,3/26/2023 19:15,1:38
712,3/27/2023 10:01,3/27/2023 11:14,1:13
713,3/27/2023 12:21,3/27/2023 12:55,0:34
714,3/27/2023 17:15,3/27/2023 20:03,2:48
715,3/28/2023 17:42,3/28/2023 18:31,0:49
716,3/29/2023 8:40,3/29/2023 11:34,2:54
717,3/29/2023 12:46,3/29/2023 15:02,2:16
718,3/30/2023 8:24,3/30/2023 10:59,2:35
719,3/30/2023 12:42,3/30/2023 14:08,1:26
720,3/30/2023 15:55,3/30/2023 17:36,1:41
721,3/31/2023 7:29,3/31/2023 9:37,2:08
722,3/31/2023 14:09,3/31/2023 14:56,0:47
723,4/1/2023 15:01,4/1/2023 19:03,4:02
724,4/1/2023 19:28,4/1/2023 21:31,2:03
725,4/2/2023 8:10,4/2/2023 8:53,0:43
726,4/2/2023 10:35,4/2/2023 11:58,1:23
727,4/2/2023 12:04,4/2/2023 14:04,2:00
728,4/2/2023 17:54,4/2/2023 19:28,1:34
729,4/3/2023 9:43,4/3/2023 11:58,2:15
730,4/3/2023 14:17,4/3/2023 15:22,1:05
731,4/4/2023 9:15,4/4/2023 10:04,0:49
732,4/4/2023 15:12,4/4/2023 19:05,3:53
733,4/5/2023 10:37,4/5/2023 14:44,4:07
734,4/5/2023 17:33,4/5/2023 18:34,1:01
735,4/5/2023 18:51,4/5/2023 19:41,0:50
736,4/6/2023 7:31,4/6/2023 11:54,4:23
737,4/6/2023 14:49,4/6/2023 17:33,2:44
738,4/7/2023 14:27,4/7/2023 17:41,3:14
739,4/7/2023 18:00,4/7/2023 19:58,1:58
740,4/7/2023 21:09,4/7/2023 22:41,1:32
741,4/8/2023 20:55,4/8/2023 23:01,2:06
742,4/9/2023 8:39,4/9/2023 9:08,0:29
743,4/9/2023 10:13,4/9/2023 12:14,2:01
744,4/10/2023 10:34,4/10/2023 12:44,2:10
745,4/10/2023 13:39,4/10/2023 14:45,1:06
746,4/10/2023 18:30,4/10/2023 22:30,4:00
747,4/11/2023 8:04,4/11/2023 9:52,1:48
748,4/11/2023 15:06,4/11/2023 16:06,1:00
749,4/11/2023 17:46,4/11/2023 19:50,2:04
750,4/12/2023 6:45,4/12/2023 9:52,3:07
751,4/12/2023 10:37,4/12/2023 11:30,0:53
752,4/12/2023 19:48,4/12/2023 22:00,2:12
753,4/13/2023 14:44,4/13/2023 16:31,1:47
754,4/13/2023 17:00,4/13/2023 17:52,0:52
755,4/16/2023 16:20,4/16/2023 16:50,0:30
756,4/16/2023 18:07,4/16/2023 18:29,0:22
757,4/17/2023 10:42,4/17/2023 10:43,0:01
758,4/17/2023 10:55,4/17/2023 11:30,0:35
759,4/17/2023 12:20,4/17/2023 12:27,0:07
760,4/17/2023 12:30,4/17/2023 12:32,0:02
761,4/17/2023 12:43,4/17/2023 14:01,1:18
762,4/17/2023 18:31,4/17/2023 20:00,1:29
763,4/18/2023 8:38,4/18/2023 10:47,2:09
764,4/18/2023 15:25,4/18/2023 16:50,1:25
765,4/18/2023 20:00,4/18/2023 20:24,0:24
766,4/19/2023 14:34,4/19/2023 19:34,5:00
767,4/19/2023 19:34,4/19/2023 19:34,0:00
768,4/20/2023 7:31,4/20/2023 10:51,3:20
769,4/23/2023 12:12,4/23/2023 13:30,1:18
770,4/23/2023 14:00,4/23/2023 14:16,0:16
771,4/23/2023 14:20,4/23/2023 14:42,0:22
772,4/24/2023 8:07,4/24/2023 10:00,1:53
773,4/24/2023 10:00,4/24/2023 10:56,0:56
774,4/24/2023 13:24,4/24/2023 13:40,0:16
775,4/25/2023 8:01,4/25/2023 9:50,1:49
776,4/26/2023 7:59,4/26/2023 9:04,1:05
777,4/26/2023 9:43,4/26/2023 10:33,0:50
778,4/27/2023 9:46,4/27/2023 11:39,1:53
779,4/27/2023 13:57,4/27/2023 14:33,0:36
780,4/27/2023 15:12,4/27/2023 15:34,0:22
781,4/27/2023 18:46,4/27/2023 18:48,0:02
782,4/28/2023 12:46,4/28/2023 13:26,0:40
783,5/4/2023 14:25,5/4/2023 15:43,1:18
784,5/4/2023 16:06,5/4/2023 18:47,2:41
785,5/5/2023 5:11,5/5/2023 10:51,5:40
786,5/5/2023 14:32,5/5/2023 17:45,3:13
787,5/6/2023 11:38,5/6/2023 17:08,5:30
788,5/7/2023 6:41,5/7/2023 7:18,0:37
789,5/7/2023 8:10,5/7/2023 9:43,1:33
790,5/7/2023 10:40,5/7/2023 13:28,2:48
791,5/8/2023 11:20,5/8/2023 12:07,0:47
792,5/8/2023 15:13,5/8/2023 16:14,1:01
793,5/9/2023 9:07,5/9/2023 12:20,3:13
794,5/10/2023 6:39,5/10/2023 9:20,2:41
795,5/10/2023 13:12,5/10/2023 15:06,1:54
796,5/10/2023 18:46,5/10/2023 21:05,2:19
797,5/11/2023 7:35,5/11/2023 7:44,0:09
798,5/11/2023 8:08,5/11/2023 8:11,0:03
799,5/11/2023 8:13,5/11/2023 8:32,0:19
800,5/11/2023 9:00,5/11/2023 9:59,0:59
801,5/11/2023 10:50,5/11/2023 11:58,1:08
802,5/11/2023 15:33,5/11/2023 18:01,2:28
803,5/12/2023 14:12,5/12/2023 15:10,0:58
804,5/13/2023 7:40,5/13/2023 9:08,1:28
805,5/14/2023 15:06,5/14/2023 19:02,3:56
806,5/15/2023 10:36,5/15/2023 14:11,3:35
807,5/15/2023 14:38,5/15/2023 15:11,0:33
808,5/15/2023 18:30,5/15/2023 19:18,0:48
809,5/16/2023 8:16,5/16/2023 9:38,1:22
810,5/16/2023 15:04,5/16/2023 16:51,1:47
811,5/17/2023 7:09,5/17/2023 8:00,0:51
812,5/17/2023 9:38,5/17/2023 11:58,2:20
813,5/17/2023 13:58,5/17/2023 14:43,0:45
814,5/18/2023 9:16,5/18/2023 10:23,1:07
815,5/18/2023 15:04,5/18/2023 19:24,4:20
816,5/18/2023 19:24,5/18/2023 19:33,0:09
817,5/19/2023 7:28,5/19/2023 9:11,1:43
818,5/19/2023 14:26,5/19/2023 18:36,4:10
819,5/19/2023 19:19,5/19/2023 21:24,2:05
820,5/20/2023 4:44,5/20/2023 5:04,0:20
821,5/20/2023 5:13,5/20/2023 5:22,0:09
822,5/20/2023 7:30,5/20/2023 9:49,2:19
823,5/20/2023 12:28,5/20/2023 13:07,0:39
824,5/20/2023 13:38,5/20/2023 14:36,0:58
825,5/20/2023 16:30,5/20/2023 17:44,1:14
826,5/21/2023 14:26,5/21/2023 18:03,3:37
827,5/21/2023 18:38,5/21/2023 23:08,4:30
828,5/22/2023 5:55,5/22/2023 7:21,1:26
829,5/22/2023 9:36,5/22/2023 13:07,3:31
830,5/22/2023 14:58,5/22/2023 16:02,1:04
831,5/23/2023 6:45,5/23/2023 10:00,3:15
832,5/23/2023 13:40,5/23/2023 15:37,1:57
833,5/23/2023 17:54,5/23/2023 20:51,2:57
834,5/24/2023 7:38,5/24/2023 13:38,6:00
835,5/24/2023 14:16,5/24/2023 16:00,1:44
836,5/24/2023 18:31,5/24/2023 21:16,2:45
837,5/25/2023 8:54,5/25/2023 12:30,3:36
838,5/25/2023 15:15,5/25/2023 18:43,3:28
839,5/25/2023 20:13,5/25/2023 22:25,2:12
840,5/26/2023 6:30,5/26/2023 11:57,5:27
841,5/26/2023 12:10,5/26/2023 13:52,1:42
842,5/26/2023 15:10,5/26/2023 17:14,2:04
843,5/27/2023 6:30,5/27/2023 7:01,0:31
844,5/27/2023 7:59,5/27/2023 11:12,3:13
845,5/27/2023 15:54,5/27/2023 19:27,3:33
846,5/27/2023 20:13,5/28/2023 0:14,4:01
847,5/28/2023 7:52,5/28/2023 9:10,1:18
848,5/28/2023 10:12,5/28/2023 11:03,0:51
849,5/28/2023 12:51,5/28/2023 13:12,0:21
850,5/28/2023 13:40,5/28/2023 13:47,0:07
851,5/28/2023 16:22,5/28/2023 19:52,3:30
852,5/29/2023 8:11,5/29/2023 11:22,3:11
853,5/29/2023 15:12,5/29/2023 18:55,3:43
854,5/30/2023 6:58,5/30/2023 9:25,2:27
855,5/30/2023 9:47,5/30/2023 10:10,0:23
856,5/30/2023 10:33,5/30/2023 10:48,0:15
857,5/30/2023 15:59,5/30/2023 17:37,1:38
858,5/30/2023 18:58,5/30/2023 19:34,0:36
859,5/31/2023 6:47,5/31/2023 13:17,6:30
860,5/31/2023 13:22,5/31/2023 15:36,2:14
861,5/31/2023 16:26,5/31/2023 18:25,1:59
862,6/1/2023 8:27,6/1/2023 12:22,3:55
863,6/1/2023 14:50,6/1/2023 18:41,3:51
864,6/2/2023 6:37,6/2/2023 9:09,2:32
865,6/2/2023 9:26,6/2/2023 10:06,0:40
866,6/2/2023 12:23,6/2/2023 15:12,2:49
867,6/3/2023 6:42,6/3/2023 18:55,12:13
868,6/3/2023 20:17,6/3/2023 23:19,3:02
869,6/4/2023 6:59,6/4/2023 11:17,4:18
870,6/4/2023 14:29,6/4/2023 19:33,5:04
871,6/5/2023 7:17,6/5/2023 11:45,4:28
872,6/5/2023 12:47,6/5/2023 16:10,3:23
873,6/5/2023 17:01,6/5/2023 20:11,3:10
874,6/5/2023 20:35,6/5/2023 23:31,2:56
875,6/6/2023 7:03,6/6/2023 11:18,4:15
876,6/6/2023 11:22,6/6/2023 15:09,3:47
877,6/7/2023 6:29,6/7/2023 9:12,2:43
878,6/7/2023 12:58,6/7/2023 21:43,8:45
879,6/8/2023 4:36,6/8/2023 4:58,0:22
880,6/8/2023 4:57,6/8/2023 4:57,0:00
881,6/8/2023 7:20,6/8/2023 12:41,5:21
882,6/8/2023 14:41,6/8/2023 19:45,5:04
883,6/9/2023 6:40,6/9/2023 14:11,7:31
884,6/9/2023 16:46,6/9/2023 17:29,0:43
885,6/10/2023 4:28,6/10/2023 5:53,1:25
886,6/10/2023 5:58,6/10/2023 6:58,1:00
887,6/10/2023 9:27,6/10/2023 22:29,13:02
888,6/11/2023 5:43,6/11/2023 7:05,1:22
889,6/11/2023 10:54,6/11/2023 11:53,0:59
890,6/11/2023 11:11,6/11/2023 13:11,2:00
891,6/11/2023 17:14,6/11/2023 18:37,1:23
892,6/11/2023 18:49,6/11/2023 19:58,1:09
893,6/11/2023 18:52,6/11/2023 18:52,0:00
894,6/12/2023 5:06,6/12/2023 7:11,2:05
895,6/12/2023 7:18,6/12/2023 8:06,0:48
896,6/12/2023 9:21,6/12/2023 13:44,4:23
897,6/12/2023 15:55,6/12/2023 17:30,1:35
898,6/13/2023 6:26,6/13/2023 11:58,5:32
899,6/13/2023 12:06,6/13/2023 12:37,0:31
900,6/13/2023 12:36,6/13/2023 12:37,0:01
901,6/13/2023 15:44,6/13/2023 16:41,0:57
902,6/13/2023 18:46,6/13/2023 20:00,1:14
903,6/13/2023 20:51,6/13/2023 23:00,2:09
904,6/14/2023 7:25,6/14/2023 10:20,2:55
905,6/14/2023 10:22,6/14/2023 13:00,2:38
906,6/14/2023 16:40,6/14/2023 20:15,3:35
907,6/15/2023 6:38,6/15/2023 9:44,3:06
908,6/15/2023 14:18,6/15/2023 15:02,0:44
909,6/15/2023 18:26,6/15/2023 19:28,1:02
910,6/16/2023 17:36,6/16/2023 18:51,1:15
911,6/17/2023 15:47,6/18/2023 0:09,8:22
912,6/18/2023 9:38,6/18/2023 11:19,1:41
913,6/18/2023 12:37,6/18/2023 18:55,6:18
914,6/19/2023 9:00,6/19/2023 16:27,7:27
915,6/20/2023 7:53,6/20/2023 16:44,8:51
916,6/21/2023 7:26,6/21/2023 16:00,8:34
917,6/22/2023 8:08,6/22/2023 20:29,12:21
918,6/23/2023 5:33,6/23/2023 10:37,5:04
919,6/23/2023 11:17,6/23/2023 13:18,2:01
920,6/23/2023 15:42,6/23/2023 17:12,1:30
921,6/24/2023 11:15,6/24/2023 13:21,2:06
922,6/24/2023 15:00,6/24/2023 19:30,4:30
923,6/24/2023 19:52,6/24/2023 20:36,0:44
924,6/25/2023 6:00,6/25/2023 9:27,3:27
925,6/25/2023 10:03,6/25/2023 10:49,0:46
926,6/25/2023 12:59,6/25/2023 13:24,0:25
927,6/25/2023 15:58,6/25/2023 20:58,5:00
928,6/26/2023 5:12,6/26/2023 6:20,1:08
929,6/26/2023 7:02,6/26/2023 14:10,7:08
930,6/26/2023 16:07,6/26/2023 18:25,2:18
931,6/27/2023 7:42,6/27/2023 13:05,5:23
932,6/27/2023 15:05,6/27/2023 18:28,3:23
933,6/28/2023 7:00,6/28/2023 13:02,6:02
934,6/28/2023 15:31,6/28/2023 20:22,4:51
935,6/29/2023 7:32,6/29/2023 14:07,6:35
936,6/29/2023 15:15,6/29/2023 21:00,5:45
937,6/30/2023 7:15,6/30/2023 15:02,7:47
938,7/1/2023 11:44,7/1/2023 13:45,2:01
939,7/1/2023 13:45,7/1/2023 16:05,2:20
940,7/1/2023 16:18,7/1/2023 16:59,0:41
941,7/2/2023 7:11,7/2/2023 12:19,5:08
942,7/2/2023 16:17,7/2/2023 20:43,4:26
943,7/3/2023 7:15,7/3/2023 14:56,7:41
944,7/3/2023 15:38,7/3/2023 17:34,1:56
